Date_Post,Job_Title,Company_Name,Job_Link,Location,Job_Type,Work_Type,Experience_Level,Category,Skills,Job_Description,Job_Requirement
17 days ago,.Net Team Leader,Techno Management -,https://wuzzuf.net/jobs/p/2vktVaqif97o-Net-Team-Leader-Techno-Management-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Full Time,Hybrid,'7+,.Net Team Leader,ASP.Net; Information Technology (IT); MVC; SQL; Web Development; .Net; Computer Science,"Develop high-quality software design and architecture 
 Ensure software is up-to-date with latest technologies. 
 Analyze system requirements, determine the requirements feasibility and prioritize tasks. 
 Coach and support team members in technical issues, challenges, and Problems. 
 Plan, develop, and implement large-scale projects from conception to completion 
 Work with development teams and stakeholders to produce software solutions. 
 Own in the entire software development life cycle, debugging applications, and support existing systems. 
 Writing clean, testable code using .NET programming languages (C#, .NET Core). 
 Review/test and refactor code. 
 Commit to deadline and report project status, issues and risks to project managers. 
 Document development and operational procedures. 
 Participate in putting the development guidelines and processes to be followed by development team 
 Create an inspiring team environment with an open communication culture 
 Set clear team goals 
 Delegate tasks and set deadlines 
 Oversee day-to-day operation 
 Monitor team performance and report on metrics 
 Motivate team members 
 Listen to team members’ feedback and resolve any issues or conflicts 
 Recognize high performance and reward accomplishments 
 Encourage creativity and risk-taking 
 Suggest and organize team building activities","Minimum 7 years experience in web development with at least 4 years experience in using ASP.net Core. 
 Strong knowledge of C#, JavaScript, and SQL. 
 Expert in programming with C#, ASP .NET Core. MVC and WebAPI 
 Proficient understanding of web markup, including HTML5, CSS3 
 Experience with database creation and maintenance. 
 Strong knowledge of modern  and Design Patterns. 
 Attention to Detail and Deadline-Oriented individual. 
 Very good knowledge in Microsoft SQL server development. 
 Very good knowledge in database performance optimization techniques. 
 Expert in object-oriented programming and design techniques. 
 Very good knowledge in SOLID Principles and Design Patterns. 
 Leading a team with at least 3 members for 3 years is a must. 
 SharePoint, office 365 and project server knowledge is a plus 
 Proven work experience as a team leader or supervisor 
 Excellent communication and leadership skills 
 Organizational and time-management skills 
 Decision-making skills 
 Degree in Management or training in team leading is a plus"
17 days ago,Senior .NET Developer,Techno Management -,https://wuzzuf.net/jobs/p/op3GtARKID6K-Senior-NET-Developer-Techno-Management-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Full Time,Hybrid,'3 - 5,Senior .NET Developer,.Net; MVC; Software Development; Programming,"Analyse system requirements and prioritize tasks 
 Write clean, testable code using .NET programming languages 
 Develop technical specifications and architecture 
 Test and debug various .NET applications 
 Review and refactor code 
 Deploy fully functional applications 
 Upgrade existing programs 
 Support junior developers’ work 
 Document development and operational procedures","Work experience as a .NET Developer 
 Proficiency in building web-based applications 
 In-depth knowledge of at least one of the .NET languages (like C# and Visual Basic .NET) 
 Familiarity with agile environments 
 Troubleshooting abilities 
 Good communication skills 
 BSc in Computer Science, Engineering or relevant field"
17 days ago,Commercial Engineer,Talaat Moustafa Group -,https://wuzzuf.net/jobs/p/gLbczdePr4iT-Commercial-Engineer-Talaat-Moustafa-Group-Cairo-Egypt,"Rehab City, Cairo, Egypt ",Full Time,On-site,'2 - 4,Commercial Engineer,Commercial; Construction; FIDIC; ERP; SAP; Quantity Surveying; Management,"Review and validate BOQs, material take-offs, and cost estimates to ensure accuracy and alignment with project budgets. 
 Monitor and assess cost variations, preparing detailed justifications for approvals. 
 Assist in drafting, reviewing, and managing contracts with consultants, contractors, and suppliers. 
 Ensure compliance with contract terms, mitigating risks and handling claims efficiently. 
 Maintain contract documentation and track contract milestones. 
 Evaluate contractor and consultant invoices, ensuring they reflect completed work and comply with agreed-upon terms. 
 Coordinate with finance teams for payment processing and budget tracking. 
 Assess and process contractor claims and variations, ensuring proper documentation and justifications. 
 Work closely with project managers and finance teams to align cost approvals with project objectives. 
 Collaborate with project teams, procurement, and finance to streamline cost and contract processes. 
 Engage with contractors and consultants to resolve commercial issues efficiently.","Bachelor’s degree in Engineering (Civil, Architecture, or related field). 
 2–4 years of experience in quantity surveying, contracts, and cost management within a real estate developer or consultancy. 
 Solid understanding of construction contracts and financial principles (FIDIC knowledge is a plus). 
 Strong analytical and problem-solving skills in cost estimation and contract management. 
 Proficiency in ERP systems (SAP experience is an advantage). 
 Good negotiation, stakeholder management, and reporting abilities"
17 days ago,Logistics Senior Specialist,Mazaya -,https://wuzzuf.net/jobs/p/KawQ1WKjv5nn-Logistics-Senior-Specialist-Mazaya-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Full Time,On-site,'8 - 10,Logistics Senior Specialist,Communication; Leadership; Leadership skills; Logistics; Microsoft Office; Supply Chain; Skills; Management; Transport,"Manage the preparation and routing of purchase orders that the brands managers arranged with our suppliers with the different forwarders 
 Manage the preparation of required clearance documents of any new upcoming purchase order with the suppliers to receive them as soon as possible via courier. 
 Communicate with the forwarders to ensure prompt pick-up and delivery of shipments from the port of loading / airport of departure to the port of discharge / airport of destination in Egypt 
 Prepare accurate bills of lading / AWB with the forwarders 
 Communicate with the accounting department regarding the bank details that will use it in the preparation of required clearance documents (form 4) to proceed it accordingly the preparation process of required form 4 documents. 
 Communicate with the insurance company regarding the preparation of insurance certificate of any new upcoming purchase order to receive them as soon as possible via courier from the insurance company to use it in the clearance process. 
 Communicate with the regulatory affairs department regarding the stamping process of invoices from MOH for any new upcoming cosmetics & skin care shipment. 
 Prepare all required clearance documents that they received from the supplier, the forwarder, the accounting, the insurance company, and the regulatory affairs to send them together in one envelope via courier to the broker to start the clearance process accordingly once arriving the shipment at port of discharge / airport of destination. 
 Communicate with the brokers to ensure prompt clearance process, pick-up and delivery of shipments from the customs to our warehouse. 
 Arrange same-day deliveries whenever possible from the different customs area (Sokhna or Port Said east or Port Said west or Alex or Cairo airport) to our warehouse. 
 Review the customs certificates versus the supplier ‘documents prior to release the shipments from the customs & before settling the required customs duties fees to the customs. 
 Review the broker ‘statements versus the official receipts & before submitting them to the accounting department to proceed the pricing process of items on our company system. 
 Ensure quality of all services and processes that the logistics coordinator is in charge to handle them. 
 Prepare the required documents for GOEIC registration to register or add or amend any trademark or factory or distribution center or products to simplify the importation process","BSc in Supply chain management, Logistics or relevant field 
 8 years of experience in logistics 
 Knowledge of logistics software or transport management systems 
 Excellent communication and interpersonal skills 
 Outstanding organizational and leadership skills"
17 days ago,Senior Accountant,MCC -,https://wuzzuf.net/jobs/p/RhmkByZeRE7A-Senior-Accountant-MCC-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,On-site,'5 - 10,Senior Accountant,Construction; Accounting; Financial Management; Finance,"Verify, allocate, post and reconcile accounts payable and receivable 
 Produce error-free accounting reports and present their results 
 Analyze financial information and summarize financial status 
 Spot errors and suggest ways to improve efficiency and spending 
 Provide technical support and advice on Management Accountant 
 Review and recommend modifications to accounting systems and procedures 
 Manage accounting assistants and bookkeepers 
 Participate in financial standards setting and in forecast process 
 Provide input into department’s goal setting process 
 Prepare financial statements and produce budget according to schedule 
 Assist with tax audits and tax returns 
 Direct internal and external audits to ensure compliance 
 Plan, assign and review staff’s work 
 Support month-end and year-end close process 
 Develop and document business processes and accounting policies to maintain and strengthen internal controls","Proven experience as a Financial Controller, Accounting Supervisor, chief or senior accountant 
 Thorough knowledge of basic accounting procedures 
 In-depth understanding of Generally Accepted Accounting Principles (GAAP) 
 Awareness of business trends 
 Familiarity with financial accounting statements 
 Experience with general ledger functions and the month-end/year-end close process 
 Hands-on experience with accounting software packages, like FreshBooks and QuickBooks 
 Advanced MS Excel skills including Vlookups and pivot tables 
 Accuracy and attention to detail 
 Aptitude for numbers and quantitative skills 
 BS degree in Accounting or Finance 
 Proven experience on Construction will be preferred"
17 days ago,German Sales Development Representative,Revlayne -,https://wuzzuf.net/jobs/p/vorvQpzMpZE6-German-Sales-Development-Representative-Revlayne-New-York-City-United-States,"New York City, United States ",Full Time,Remote,'Not specified,German Sales Development Representative,german; Sales; Business Development,"Company: RevLayne 
 Location: Remote 
 Industry: B2B Marketing & Lead Generation 
 Are you a 
 fluent German speaker 
 with a talent for engaging decision-makers and booking high-quality sales appointments? Do you want to be part of a 
 fast-growing B2B marketing company 
 that pays in 
 USD 
 and rewards top performance? If so, 
 RevLayne 
 wants you on our team! 
 About RevLayne 
 At 
 RevLayne 
 , we specialize in 
 B2B lead generation and outbound sales strategies 
 , helping businesses connect with high-value clients. We are looking for motivated appointment setters to 
 generate qualified meetings 
 for our sales team. 
 What You’ll Do 
 ✅ Conduct outbound calls, emails, and LinkedIn outreach to German-speaking prospects 
 ✅ Engage with key decision-makers and qualify potential clients 
 ✅ Schedule high-quality sales appointments for our closing team 
 ✅ Follow up with leads to maintain engagement 
 ✅ Maintain accurate records in our CRM 
 ✅ Collaborate with the sales team to optimize outreach strategies 
 What We Offer 
 Competitive base salary + performance bonuses (Paid in USD ????) 
 Fully remote 
 – work from anywhere 
 Career growth opportunities 
 in B2B marketing & sales 
 Comprehensive training & ongoing support 
 A dynamic, international team of top performers 
 Ready to kickstart your career with a high-energy, high-reward role? 
 Apply now and become part of the 
 RevLayne appointment setting team!",No list items found in the requirements section.
17 days ago,Dental Operators /Masters & PHD Holders,Shiny White Dental Center  -,https://wuzzuf.net/jobs/p/J7l1ujUyEN9K-Dental-Operators-Masters-PHD-Holders-Shiny-White-Dental-Center-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'5 - 10,Dental Operators /Masters & PHD Holders,Dentistry; Dental Implant; Dental Care; Cosmetic Dentistry; oral medicine; dentist; fixed prothdontics; implantology,"Dental Operators are needed to all Shiny white branches Cairo and Giza 
 Dental surgeons and implantologist 
 Fixed prosthodontists 
 Endodontists 
 Diagnosis and oral dentistry 
 Removable Prosthodontics 
 Restorative  Dentistry","PHD and Masters holders 
 Relevant level of experience working in a hospital or private sector 
 Excellent communication and skills 
 To be Punctual 
 To be honest, trust-worthy and reliable 
 Enthusiasm and flexible attitude 
 Ability to use own initiative 
 Well Presented, Positive attitude, well Organized and Patient Focused"
17 days ago,Junior QA Engineer,EXALT Technologies  -,https://wuzzuf.net/jobs/p/K9q83Lfpcdbw-Junior-QA-Engineer-EXALT-Technologies-Cairo-Egypt,"Sheraton, Cairo, Egypt ",Full Time,Hybrid,'1 - 3,Junior QA Engineer,Agile; Automation; Computer Science; Engineering; JMeter; Python; QA,"EXALT Technologies, a renowned leader in software development and technology services, is seeking 
 exceptional and innovative QA Engineers 
 to join our growing team in Cairo. We have 
 immediate openings 
 for talented professionals who are eager to make a meaningful impact by contributing to the development of cutting-edge 
 billing and charging software solutions for 5G networks 
 .","Bachelor’s degree in computer science, Engineering, or related field. 
 Strong experience in test case writing and execution. 
 Proficient with automation tools like Python and Robot Framework. 
 Skilled in performance testing using JMeter. 
 Familiar with CI/CD pipelines and Unix command-line. 
 Knowledge of Agile methodologies 
 Experience with deploying and configuring dockerized applications in Kubernetes (K8s) environments. 
 Experience with monitoring tools (Prometheus, Grafana, ELK) and telecom network solutions is a plus. 
 Develop and execute manual, automated, and acceptance tests. 
 Conduct performance testing to meet customer KPIs. 
 Collaborate with Product Owners to translate requirements into test cases. 
 Resolve customer defects through log analysis and root cause identification. 
 Work within CI/CD pipelines and Kubernetes environments. 
 Monitor and troubleshoot system performance using relevant tools. 
 Improve testing processes for efficiency. 
 Present test results to stakeholders and provide feedback to development teams. 
 Limitless career development opportunities with global clients on cutting-edge technologies. 
 Being part of a dynamic and collaborative team while fostering open communication and continuous learning. 
 Flexible work hours. 
 Access to LinkedIn and Udemy learning courses. 
 Hybrid working mode. 
 Private Health Insurance Coverage."
17 days ago,Sales Team Leader,Danat Travels  -,https://wuzzuf.net/jobs/p/0iJcs0auPQgT-Sales-Team-Leader-Danat-Travels-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Full Time,On-site,'3 - 7,Sales Team Leader,Sales; sales skills; Sales Target; Travel; Travel Sales; Travel Planning; Travel Arrangements; Travel Coordination,"Conduct skills gap analyses to identify areas of improvement 
 Design training curricula within time and budget constraints 
 Produce physical and digital educational material (e.g. videos and case studies) 
 Onboard new salespeople 
 Coordinate individual and team performance review sessions to discuss strengths and weaknesses 
 Monitor sales objectives and results 
 Collect feedback from trainees and managers about training courses 
 Report on impact of training programs (e.g. sales achieved) 
 Liaise with external trainers or industry professionals and organize seminars 
 Maintain updated records of training material, curricula and costs","Proven work experience as a Sales Leader or similar role 
 Experience in a sales position is a plus 
 Ability to manage the full training cycle, including in-person activities and web-based learning 
 Hands-on experience with e-learning platforms 
 Excellent organizational skills 
 Solid communication and presentation abilities 
 BSc degree in Education, Human Resources or relevant field 
 Additional certification in training is a plus"
17 days ago,Civil Project Managers,Delta Development -,https://wuzzuf.net/jobs/p/td3QIkqLMhHe-Civil-Project-Managers-Delta-Development-Sharqia-Egypt,"10th of Ramadan City, Sharqia, Egypt ",Full Time,On-site,'10+,Civil Project Managers,Project Manager; Project Management; Manager,"Job Description 
 (Delta Housing and Construction Company): 
 Executive Project Manager (Government housing projects) 
 - 8-10 years of experience 
 - Project Manager with at least 10 years of experience 
 Contact us by phone or WhatsApp [1080267629] 
 Develop and manage project plans, including scope, timelines, and resource allocation. 
 Coordinate with cross-functional teams to ensure smooth project execution. 
 Monitor project progress, identify risks, and implement mitigation strategies. 
 Ensure projects are delivered on time, within scope, and budget. 
 Communicate project updates to stakeholders and management. 
 Implement best practices and methodologies for project management. 
 Conduct post-project evaluations and suggest improvements. 
 Foster team collaboration and drive project success.","10+ years of experience in project management. 
 Proven experience managing complex projects from start to finish(Government housing projects). 
 Strong understanding of project management methodologies. 
 Excellent leadership, organizational, and problem-solving skills. 
 Strong communication and stakeholder management abilities."
17 days ago,Electrical Engineer.,Otec -,https://wuzzuf.net/jobs/p/1xGiUEEntrop-Electrical-Engineer-Otec-Cairo-Egypt,"Shorouk City, Cairo, Egypt ",Full Time,On-site,'3 - 6,Electrical Engineer.,CAD; Electrical Engineer; Electrical Engineering; Electrical; Engineering,"Design, control, and implement electrical systems and products 
 Develop manufacturing processes according to global engineering codes and standards 
 Manage engineering projects and deliver them on time 
 Define customer needs and requirements 
 Ensure that installations and applications are in line with customer needs and safety standards 
 Collaborate with engineers and technicians to design and apply new system processes 
 Perform quality and performance analysis on new and legacy IT systems 
 Summarize data and report on test results 
 Examine needs on new equipment, calculate costs and help prepare budgets 
 Monitor maintenance and inspection plans","Electrical engineer for site 
 Shopdrawing, cad 
 3-6year"
17 days ago,Medicine Sales Representative,Egyptian Company for Medical Investments ECMI -,https://wuzzuf.net/jobs/p/cPPwR7VTsv4c-Medicine-Sales-Representative-Egyptian-Company-for-Medical-Investments-ECMI-Cairo-Egypt,"Cairo, Egypt ",Full Time,On-site,'1 - 3,Medicine Sales Representative,Chemical; Chemical Sales; Chemistry; Communication; Customer Service; Negotiation; negotiation skills; Sales Target,"Job Description: 
 Drive sales of pharmaceutical products to healthcare professionals,Build relationships, conduct presentations, and achieve sales targets. 
 Responsibilities: 
 Achieve sales goals within assigned territory. 
 Cultivate relationships with physicians and pharmacists. 
 Present product information and conduct sales calls. 
 Analyze market trends and provide reports.","Bachelor's degree in a relevant field. 
 Proven pharmaceutical sales experience. 
 Strong communication and relationship-building skills. 
 Valid driver's license."
17 days ago,Front Desk Coordinator,Confidential -,https://wuzzuf.net/jobs/p/W2fYRo7XlYs2-Front-Desk-Coordinator-Cairo-Egypt,"Heliopolis, Cairo, Egypt ",Full Time,On-site,'0 - 2,Front Desk Coordinator,Administration; English; Communication,"Keep front desk tidy and presentable with all necessary material (pens, forms, paper etc.) 
 Greet and welcome guests 
 Answer questions and address complaints 
 Answer all incoming calls and redirect them or keep messages 
 Receive letters, packages etc. and distribute them 
 Prepare outgoing mail by drafting correspondence, securing parcels etc. 
 Check, sort and forward emails 
 Monitor office supplies and place orders when necessary 
 Keep updated records and files 
 Monitor office expenses and costs 
 Take up other duties as assigned (travel arrangements, schedules etc.)","Proven experience as front desk representative, agent or relevant position 
 Familiarity with office machines (e.g. fax, printer etc.) 
 Knowledge of office management and basic bookkeeping 
 Proficient in English (oral and written) 
 Excellent knowledge of MS Office (especially Excel and Word) 
 Strong communication and people skills 
 Good organizational and multi-tasking abilities 
 Problem-solving skills 
 Customer service orientation"
17 days ago,Account Manager - Modern Trade,Arma-HSA -,https://wuzzuf.net/jobs/p/uLuarAFdKlML-Account-Manager---Modern-Trade-Arma-HSA-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Full Time,On-site,'3 - 5,Account Manager - Modern Trade,FMCG Sales; Sales,"Plan and supervise the implementation of the department's projects, to ensure that the project cycle is completed, in accordance with the project parameters (cost budget, timelines, scope of work and quality) and its agreed standards and objectives. 
 Oversee the timely preparation of accurate reporting of the distribution department, in accordance with the terms, policies and standards. 
 Monitors the markets and the performance of the work team and works to correct the path and deviations as well as monitor the performance of competitors within customer outlets.","Bachelor's degree in business administration or any. 
 Experience: 3-5 of relevant sales experience. 
 FMCG Experience is a must. 
 Car Owner is a must."
17 days ago,Electrical Engineer,Misr Elhegaz Group -,https://wuzzuf.net/jobs/p/Ta2kD1qyAEzT-Electrical-Engineer-Misr-Elhegaz-Group-Cairo-Egypt,"10th of Ramadan City, Cairo, Egypt ",Full Time,On-site,'3+,Electrical Engineer,Electrical; Electrical Engineering; Mechanical Engineering; Manufacturing; Production; Engineering; Sales; Skills,"Design, control, and implement electrical systems and products 
 Develop manufacturing processes according to global engineering codes and standards 
 Manage engineering projects and deliver them on time 
 Define customer needs and requirements 
 Ensure that installations and applications are in line with customer needs and safety standards 
 Collaborate with engineers and technicians to design and apply new system processes 
 Perform quality and performance analysis on new and legacy IT systems 
 Summarize data and report on test results 
 Examine needs on new equipment, calculate costs and help prepare budgets 
 Monitor maintenance and inspection plans","Bachelor's degree in Electrical Engineering from a recognized university. 
 Minimum  3 years of experience in electrical engineering within industrial or manufacturing environments. 
 Experience in the maintenance of electrical equipment and machinery in plastic manufacturing facilities (such as injection molding machines, presses, and production lines). 
 Ability to read electrical diagrams and accurately diagnose faults. 
 Skills in setting up and maintaining electrical systems within the factory. 
 Knowledge of low and medium-voltage electrical systems. 
 Proficiency in both written and spoken English."
17 days ago,L2 Technical Support Engineer (Telecom Sector),Viavi Solutions -,https://wuzzuf.net/jobs/p/yBxmKADJU54r-L2-Technical-Support-Engineer-Telecom-Sector-Viavi-Solutions-Cairo-Egypt,"Maadi, Cairo, Egypt ",Full Time,Hybrid,'3 - 10,L2 Technical Support Engineer (Telecom Sector),Linux; Technical Support; Telecommunication; Troubleshooting; Networking; JIRA; Docker; AWS Cloud,"Provide prompt and professional technical support to customers via phone, email, chat and our standard ticketing system, and make sure the customer is updated regularly. 
 Diagnoses, research, troubleshoot and identify solutions to software issues. 
 Ask customers targeted questions to have a clear understanding of the customer’s problem. 
 Track customer’s system, hardware, and software issues through to resolution, within agreed time limits (respect the various SLAs). 
 Properly escalate unresolved system software issues to software developers. 
 Provide prompt and accurate feedback to customers including actions of fix and RCA. 
 Refer to internal knowledge base or external resources to provide accurate tech solutions. 
 Ensure all issues are properly logged. 
 Prioritize and manage several open issues at one time. 
 Follow up with customers to ensure their systems are fully functional after troubleshooting. 
 Prepare accurate and timely reports. 
 Document technical knowledge in the form of articles and manuals to enrich the support knowledge base and generate reports on support activities and trends. 
 Stay updated with new technologies, product updates, and industry trends. 
 Provide feedback and suggestions for improving support processes and tools.","Excellent interpersonal and communications skills with colleagues and clients either verbally or in writing. 
 Fluency in English is a must. 
 French and Italian languages are a plus. 
 Excellent problem-solving and troubleshooting skills. 
 Ability to manage multi-tasking and prioritize effectively. 
 Strong attention to detail and accuracy. 
 Ability to work independently and as part of a team under general supervision. 
 3-10 years of experience in maintaining and troubleshooting microservices-based applications deployed across multiple servers at customer sites. 
 Bachelor’s degree in IT, Computer Science, Telecommunications, or similar. 
 Experience in mobile telecommunication systems (4G, 3G and 2G) and analysis tools likeWireshark 
 Hands-on experience with Linux (Debian, Fedora) and Windows server OS environments. 
 Strong understanding of OS administration (SSH, disk/log management...). 
 Familiarity with networking concepts (LAN, VLAN, DNS). 
 Experience with remote access tools (RDP, Any desk, Citrix…). 
 Knowledge of cloud services (AWS...) is plus. 
 Good database knowledge (SQL, MongoDB, PostgreSQL). 
 Familiarity with monitoring tools (Zabbix, Grafana, Prometheus). 
 Good scripting knowledge (Shell scripts, Bash). 
 Strong understanding of Docker Management. 
 Basic knowledge of Kubernetes is a plus. 
 Experience with ticketing systems (Jira or similar)."
17 days ago,HR Specialist,Sky Distribution -,https://wuzzuf.net/jobs/p/xLRHKt6KeafB-HR-Specialist-Sky-Distribution-Giza-Egypt,"Sheikh Zayed, Giza, Egypt ",Freelance / Project,On-site,'1 - 3,HR Specialist,Human Resources (HR); Recruitment,"Source candidates by using our channels and social media 
 Evaluate and screen resumes 
 Scheduling interviews ( Calls & Mails ) 
 Assume responsibility of pre-interview screening","Excellent communication 
 Able to work full-time until the end of the project 
 Very Good command of written & spoken English 
 Good knowledge of MS Office 
 Team Player & Good Communication Skills 
 Gain experience in a challenging work environment. 
 Expose to real projects and assignments."
17 days ago,Call Center Agent - English Account,Alshaya -,https://wuzzuf.net/jobs/p/MBRnfYFOTpAb-Call-Center-Agent---English-Account-Alshaya-Giza-Egypt,"6th of October, Giza, Egypt ",Full Time,On-site,'0 - 3,Call Center Agent - English Account,Call Center; Customer Care; Call center agent; Customer Support; Customer Service; Communication; Customer; English; Problem Solving,"Answer and handle all feedbacks received from different channels according to the contact center procedure 
 Comply to the floor management instructions towards better KPI’s 
 Full compliance to the Contact Centre code of conducts in the manner of attendance, pause sessions and daily/weekly/monthly targets. Achieve the daily/weekly/monthly personal productivity KPI’s 
 Apply the elements of building positive rapport with different types of customers over the phone 
 Adherence to CC schedule- shifts/ Weekends/ public holidays 
 Ensure all feedbacks are registered in the respective records (BMC Remedy System, ININ , OMS, COMS, etc,.) 
 Promote the department CES during calls which leads to service improvement 
 Understand & effectively deal with job stress and unsatisfied customers 
 Attend training courses scheduled by the department 
 Completion of any assigned task given by the supervisor with efficient use of the Contact Centre tools in accordance with the quality standards 
 follow up on pending tasks when needed","Experience in customer service is essential 
 Graduates only 
 Proficient in English and Arabic 
 Working knowledge of MS Office 
 Outstanding communication and negotiation abilities 
 Excellent problem solving skills 
 Ability to work in a fast-paced environment 
 Flexibility with rotational shifts and days off"
17 days ago,Learning & development consultant,Avanguard -,https://wuzzuf.net/jobs/p/DR4otyJCXoIe-Learning-development-consultant-Avanguard-Cairo-Egypt,"New Cairo, Cairo, Egypt ",Full Time,Remote,'10 - 15,Learning & development consultant,Business Development; Design; Communication; Development; Information Technology (IT); learning; Management; Organizational Development; Education,"Key Responsibilities: 
 - Conduct training needs analysis to identify skill gaps and learning opportunities within the organization. 
 - Develop and design engaging training programs and materials tailored to various learning styles and business needs. 
 - Facilitate training sessions, workshops, and seminars, both in-person and online. 
 - Evaluate the effectiveness of training programs through feedback, assessments, and performance metrics. 
 - Collaborate with department leaders to align training initiatives with business objectives. 
 - Stay updated on industry trends, best practices, and emerging technologies in learning and development. 
 - Create and maintain a comprehensive training calendar and manage training logistics. 
 - Foster a culture of continuous learning and development within the organization. 
 - Provide coaching and support to managers in developing their teams' skills and competencies. 
 - Prepare reports and presentations on training effectiveness and ROI for stakeholders.",No list items found in the requirements section.
17 days ago,Internal Auditor,Solik Real Estate Investment  -,https://wuzzuf.net/jobs/p/dNABfKizIKRL-Internal-Auditor-Solik-Real-Estate-Investment-Alexandria-Egypt,"Sidi Gaber, Alexandria, Egypt ",Freelance / Project,On-site,'8 - 10,Internal Auditor,Auditing; analytical; auditor; Finance; Auditing standards; Internal auditor; Accounting; Construction,"Internal Auditor 
 ● Perform and control the full audit cycle including risk management and control management over operations’ effectiveness, financial reliability and compliance with all applicable directives and regulations 
 ● Determine internal audit scope and develop annual plans 
 ● Obtain, analyses and evaluate accounting documentation, previous reports, data, flowcharts etc 
 ● Prepare and present reports that reflect audit’s results and document process 
 ● Act as an objective source of independent advice to ensure validity, legality and goal achievement 
 ● Maintain open communication with management and audit committee 
 ● Document process and prepare audit findings memorandum","Proven working experience as Internal Auditor or Senior Auditor 
 Advanced computer skills on MS Office, accounting software and databases 
 Ability to manipulate large amounts of data and to compile detailed reports 
 Proven knowledge of auditing standards and procedures, laws, rules and regulations 
 High attention to detail and excellent analytical skills 
 Sound independent judgement 
 BS degree in Accounting or Finance 
 Experience in Constructions Field"
17 days ago,Junior Backend Developer .Net,Exco Egypt -,https://wuzzuf.net/jobs/p/rHEvBsyikAki-Junior-Backend-Developer-Net-Exco-Egypt-Cairo-Egypt,"Nasr City, Cairo, Egypt ",Full Time,On-site,'1 - 2,Junior Backend Developer .Net,ASP.Net; .Net; C#; Computer Science; Information Technology (IT); Engineering; Programming; Software Development; Software Engineering,"Job overview 
 We are seeking a talented and motivated 
 .NET Developer 
 to join our growing development team. In this role, you will design, develop, and maintain high-quality, scalable applications using the 
 .NET platform 
 (primarily 
 .NET Core 
 and 
 C# 
 ). You will work closely with cross-functional teams to deliver innovative software solutions and contribute to the development of cutting-edge applications. 
 Key Responsibilities 
 Application Development 
 : Design, build, and maintain efficient, reusable, and reliable C# code for web, mobile, or desktop applications using the 
 .NET framework 
 . 
 API Development 
 : Build and consume 
 RESTful APIs 
 or 
 Web APIs 
 using 
 ASP.NET Core 
 . 
 Database Integration 
 : Develop and maintain database systems (SQL Server, MySQL, PostgreSQL, etc.), including designing schemas, writing queries, and optimizing performance. 
 Collaboration 
 : Work closely with business analysts, project managers, and front-end developers to define and implement application features. Participate in design and code reviews to ensure best practices and maintainability. 
 Deployment & CI/CD 
 : Contribute to continuous integration/continuous deployment (CI/CD) pipelines and help deploy applications to cloud environments (Azure, AWS, etc.). 
 Documentation 
 : Produce technical documentation to ensure maintainability and scalability of software applications","Proficiency in C#: Solid experience withC#and object-oriented programming principles. 
 .NET Framework/.NET Core: Strong experience with.NET Coreand familiarity with the.NET Frameworkfor building web, desktop, and cloud-based applications. 
 Web Development: Experience withASP.NET Corefor web applications,MVC, andWeb APIdevelopment. 
 Database Experience: Experience working with relational databases (e.g.,SQL Server,PostgreSQL,MySQL) and proficiency in writing SQL queries. 
 Version Control: Familiarity with version control systems such asGitand experience in managing code repositories. 
 Cloud Experience(optional): Experience withAzureor other cloud platforms for hosting applications and services. 
 Problem-Solving: Strong troubleshooting skills with the ability to debug and resolve complex technical issues. 
 Team Player: Ability to collaborate effectively with cross-functional teams and work in an Agile environment. 
 Bachelor’s degree in Computer Science, Software Engineering, or a related field (or equivalent work experience). 
 1-2 years of experience as a .NET Developer or in a similar role. 
 Experience withMicroservicesarchitecture. 
 Familiarity withDevOpspractices and tools. 
 Familiarity withmessage queues(e.g.,Azure Service Bus,RabbitMQ). 
 Knowledge ofcontainerizationusingDockerand orchestration tools likeKubernetes."
17 days ago,Telesales Executive,egmerlin -,https://wuzzuf.net/jobs/p/um2jwoiA12Ee-Telesales-Executive-egmerlin-Suez-Egypt,"Ataqah, Suez, Egypt ",Full Time,On-site,'1 - 5,Telesales Executive,sales skills; Communication skills; Communication; Customer Service; Sales; Telesales,"We are hiring sales executive / full time job 
 Sales executive is responsible for promoting the company services through cold call (tele-sales) ,They interact with customers, provide information and  advice. 
 Candidates should have experience in sales more than 1 year , responsible ,high communication skills. 
 Salary is up to 10,000 LE (fixed + variable) ,based on target achievement + Commission 
 In case of approved and accepted after preparation period salary will be 15000 
 Candidate should be from (Suez government ) 
 Insurance + medical","Candidates should have experience in sales more than 1 year , responsible ,high communication skills. 
 The candidate should be from (Suez government )"
